Biotsiidi kaubanduslik nimetus;Toimeaine;CAS nr.;Biotsiidi tooteliik;Biotsiidi registreerimistunnistuse kehtivuse aeg;Biotsiidi registreerimistunnistuse omanik;Toimeaine sisaldus;Märkused
"KODUEXPERT-5; Alates 27.07.2015:; K-EXPERT 5 DesWash";"Kvaternaarsed ammooniumühendid, bensüül-C12-18-alküüldimetüülkloriidid; Alates 27.07.2015:; C12–16-alküüldimetüülbensüülammooniumkloriid (ADBAC/BKC (C12–16))";"68391-01-5; Alates 27.07.2015:; 68424-85-1";Tooteliik 2, 4;31.12.2024;ESTKO AS;50 g/kg;Tavatarbija ja kutsealaseks kasutamiseks
"ÜLDPESU-D; Alates 27.07.2015; DIWA-Bac";"Kvaternaarsed ammooniumühendid, bensüül-C12-18-alküüldimetüülkloriidid; Alates 27.07.2015:; C12–16-alküüldimetüülbensüülammooniumkloriid (ADBAC/BKC (C12–16))";"68391-01-5; Alates 27.07.2015:; 68424-85-1";Tooteliik 2, 4;31.12.2024;ESTKO AS;50 g/kg;Kutsealaseks kasutamiseks
POLYPHASE 900A;3-jodo-2-propünüülbutüülkarbamaat;55406-53-6;Tooteliik 7, 8;31.12.2024;Troy Chemical Company BV;20 g/100g;"Tööstuslikuks kasutamiseks; Komisjoni direktiiv 2008/79/EÜ (TL8)"
POLYPHASE AF3;3-jodo-2-propünüülbutüülkarbamaat;55406-53-6;Tooteliik 7, 8;31.12.2024;Troy Chemical Company BV;30 g/100g;"Tööstuslikuks kasutamiseks; Komisjoni direktiiv 2008/79/EÜ (TL8)"
CASCADE DES;"1) 12–14-alküüldimetüül(etüülbensüül)ammooniumkloriid; 2) C12–18-alküüldimetüülbensüülammooniumkloriid";"1) 85409-23-0; 2) 68391-01-5";Tooteliik 4;31.12.2024;Chemi-Pharm AS;"1) 2,5%; 2) 2,5%";Kutsealaseks kasutamiseks
BOZO;"1) 12–14-alküüldimetüül(etüülbensüül)ammooniumkloriid; 2) C12–18-alküüldimetüülbensüülammooniumkloriid";"1) 85409-23-0; 2) 68391-01-5";Tooteliik 2;31.12.2024;Chemi-Pharm AS;"1) 0,5%; 2) 0,5%";Kutsealaseks kasutamiseks
CHEMISEPT WIPES;"1) Etanool; 2) Kvaternaarsete C12-14-alküül[(etüülfenüül)metüül]dimetüülammooniumiühendite; kloriidid/Kvaternaarsete bensüül-C12-18-alküüldimetüülammooniumiühendite kloriidid; Alates 03.03.2017:; Etanool";"1) 64-17-5; 2) 85409-23-0/68391-01-5; Alates 03.03.2017:; 1) 64-17-5";"Tooteliik 1, 2; Alates 03.03.2017:; Tooteliik 1";31.12.2024;Chemi-Pharm AS;"1) 72%; 2) 0,025%; Alates 03.03.2017:; 73,5%";Tarbija kasutamiseks
CHLORINEX 60;"Alates 27.04.2009: Naatriumdikloroisotsüanuraadi dihüdraat; Alates 01.04.2015: Naatriumtrokloseen";"2893-78-9; Alates 27.04.2009: 51580-86-0; Alates 01.04.2015: 2893-78-9";"Tooteliik 2; Alates 27.04.2009:; TL 2, 4, 5";31.12.2024;Chemi-Pharm AS;1 tablett (3,3g) sisaldab 1,5g aktiivkloori;Kutsealaseks kasutamiseks
SMELL NET;"1) C12–14-alküüldimetüül(etüülbensüül)ammooniumkloriid; 2) C12–18-alküüldimetüülbensüülammooniumkloriid";"1) 85409-23-0; 2) 68391-01-5";Tooteliik 2;31.12.2024;Chemi-Pharm AS;"1) 1,25%; 2) 1,25%";Kutsealaseks kasutamiseks
CHEMIPHARM DES NEW;"1) C12–14-alküüldimetüül(etüülbensüül)ammooniumkloriid; 2) C12–18-alküüldimetüülbensüülammooniumkloriid";"1) 85409-23-0; 2) 68391-01-5";Tooteliik 2;31.12.2024;Chemi-Pharm AS;"1) 3,5 g/100g; 2) 3,5 g/100g";"Kutsealaseks kasutamiseks; Alates 12.07.2017; Tavatarbija kasutamiseks"
CHEMISEPT FG;"1) Etanool; 2) C12–14-alküüldimetüül(etüülbensüül)ammooniumkloriid; 3) C12–18-alküüldimetüülbensüülammooniumkloriid";"1) 64-17-5; 2) 85409-23-0; 3) 68391-01-5";Tooteliik 1;31.12.2024;Chemi-Pharm AS;"1) 62 % (w/w); 2) 0,125%; 3) 0,125%";Tavatarbija kasutamiseks
CHEMISEPT G;"1) Etanool; 2) C12–14-alküüldimetüül(etüülbensüül)ammooniumkloriid; 3) C12–18-alküüldimetüülbensüülammooniumkloriid";"1) 64-17-5; 2) 85409-23-0; 3) 68391-01-5";Tooteliik 1;31.12.2024;Chemi-Pharm AS;"1) 75 g/100g; 2) 0,05 g/100g; 3) 0,05 g/100g";"Kutsealaseks kasutamiseks; Alates 11.07.2017; Tavatarbija ja kutsealaseks kasutamiseks"
CHEMISEPT G COLOR;"1) Etanool; 2) C12–14-alküüldimetüül(etüülbensüül)ammooniumkloriid; 3) C12–18-alküüldimetüülbensüülammooniumkloriid";"1) 64-17-5; 2) 85409-23-0; 3) 68391-01-5";Tooteliik 1;31.12.2024;Chemi-Pharm AS;"1) 75 % (w/w); 2) 0,05%; 3) 0,05%";Kutsealaseks kasutamiseks
CHEMISEPT;"1) Etanool; 2) C12–14-alküüldimetüül(etüülbensüül)ammooniumkloriid; 3) C12–18-alküüldimetüülbensüülammooniumkloriid";"1) 64-17-5; 2) 85409-23-0; 3) 68391-01-5";Tooteliik 1;31.12.2024;Chemi-Pharm AS;"1) 72 % (w/w); 2) 0,1%; 3) 0,1%";Kutsealaseks kasutamiseks
HEALTHY SKIN GEL;"1) Etanool; 2) 12–14-alküüldimetüül(etüülbensüül)ammooniumkloriid; 3) C12–18-alküüldimetüülbensüülammooniumkloriid";"1) 64-17-5; 2) 85409-23-0; 3) 68391-01-5";Tooteliik 1;31.12.2024;Chemi-Pharm AS;"1) 72 % (w/w); 2) 0,0125%; 3) 0,0125%";Kutsealaseks kasutamiseks
neoseptal PE 15;"1) Peräädikhape; 2) Vesinikperoksiid";"1) 79-21-0; 2) 7722-84-1";"Tooteliik 4; Alates 18.11.2016; Tooteliik 2, 4";1.10.2020;"Neobalt Grupa LTD; Alates 19.08.2016; Chemische Fabrik Dr. Weigert GmbH & Co. KG";"1) 14,9%; 2) 23%";"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2016/672 (TL 1, 2, 3, 4, 5, 6)"
RENET;Kvaternaarne ammooniumühend, C12 – C14alküül[(etüülfenüül)metüül]dimetüül- kloriidid/ bensüül-C12 –C18- alküüldimetüül- kloriidid;85409-23-0/ 68391-01-5;Tooteliik 2, 3;31.12.2024;Remedium AS;NA;
REMAC 5 (SANITIISER);"Kvaternaarsed ammooniumühendid, bensüül-C8-18-alküüldimetüükloriidid / bensüül-C12–C18-alküüldimetüülkloriidid / bensüül-C12-16-alküüldimetüül kloriidid; Alates 06.06.2017; C12-16-alküüldimetüülbensüülammooniumkloriid";"61789-71-7 / 68391-01-5 / 68424-85-1; Alates 06.06.2017; 68424-85-1";Tooteliik 2;31.12.2024;BESUR OÜ;0,025;"Kutsealaseks kasutamiseks; Komisjoni rakendusotsus (EL) 2016/1950; Alates 06.06.2017; Tavatarbija ja kutsealaseks kasutamiseks"
ROCIMA 344 MICROBICIDE;"1) 2-oktüül-2H-isotiasool-3-oon / oktilinoon; 2) 4,5-dikloro-2-oktüül-2H-isotiasool-3-oon";"1) 26530-20-1 ; 2) 64359-81-5";Tooteliik 7;31.12.2024;"ROHM AND HAAS NORDISKA AB; Alates 01.03.2016; Dow Europe GmbH; Alates 01.11.2018; DSP S.A.S.";"1) 2,5 g/100g; 2) 10 g/100g";Kutsealaseks ja tööstuslikuks kasutamiseks
"KATHON 893F BIOCIDE; Alates 5.02.2016; BIOBAN O 45 Antimicrobial";2-oktüül-2H-isotiasool-3-oon / oktilinoon;26530-20-1;Tooteliik 7;31.12.2024;"ROHM AND HAAS NORDISKA AB; Alates 05.02.2016; Dow Europe GmbH; Alates 01.11.2018; DSP S.A.S.";"45%; Alates 05.02.2016; 48%; Alates 10.10.2018; 45%";Kutsealaseks ja tööstuslikuks kasutamiseks
"ROCIMA 518 MICROBICIDE; Alates 1.03.2016; ROCIMA 518 Biocide";"1) 1,2-bensisotiasool-3(2H)-oon / proksaan ; 2) 2,2'-ditiobis[N-metüülbensamiid]";"1) 2634-33-5; 2) 2527-58-4";Tooteliik 6;31.12.2024;"ROHM AND HAAS NORDISKA AB; Alates 01.03.2016; Dow Europe GmbH; Alates 01.11.2018; DSP S.A.S.";"1) 7,5 g/100g; 2) 3,6 g/100g";Kutsealaseks ja tööstuslikuks kasutamiseks
DEXID - 200;"Alates 13.07.2017; 1) C12-16-alküüldimetüülbensüülammooniumkloriid; 2) Didetsüüldimetüülammooniumkloriid; 3) Glutaaraldehüüd; 4) Propaan-2-ool; Enne:; 1) Glutaraal / pentaandiaal; 2) Propaan-2-ool / isopropanool; 3) Kvaternaarsed ammooniumühendid: bensüül-C12-18-alküüldimetüül-kloriidid / C12-14-alküül[(etüülfenüül)metüül]dimetüülkloriidid";"Alates 13.07.2017; 1) 68424-85-1; 2) 7173-51-5; 3) 111-30-8; 4) 67-63-0; Enne; 1) 111-30-8; 2) 67-63-0; 3) 68391-01-5 / 85409-23-0";Tooteliik 3, 4;31.12.2024;Interchemie werken “De Adelaar” Eesti AS;"Alates 13.07.2017; 1) 8,5%; 2) 4%; 3) 5%; 4) 13%;";"Kutsealaseks ja tööstuslikuks kasutamiseks; 3) Komisjoni rakendusmäärus (EL) 2015/1759 (TL 2, 3, 4, 6, 11 ja 12); 4) Komisjoni rakendusmäärus (EL) 2015/407 (TL1, 2, 4); Komisjoni otsus nr 2008/809/EÜ"
SUPRA;"1) Glutaraal / pentaandiaal; 2) Propaan-2-ool / isopropanool; 3) Kvaternaarsed ammooniumühendid: bensüül-C12-18-alküüldimetüül-kloriidid / C12-14-alküül[(etüülfenüül)metüül]dimetüülkloriidid";"1) 111-30-8; 2) 67-63-0; 3) 68391-01-5 / 85409-23-0";"Tooteliik 3, 4; Alates 25.10.20083): Tooteliik 4";31.12.2024;Eesti Farmaatsia Grupp OÜ;NA;"Komisjoni otsus nr 2008/809/EÜ; 1) Komisjoni rakendusmäärus (EL) 2015/1759 (TL 2, 3, 4, 6, 11 ja 12); 2) Komisjoni rakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
B - QUAT;Kvaternaarsed ammooniumühendid: bensüül-C12-18-alküüldimetüül-kloriidid / C12-14-alküül[(etüülfenüül)metüül]dimetüülkloriidid;68391-01-5 / 85409-23-0;Tooteliik 3, 4;31.12.2024;Eesti Farmaatsia Grupp OÜ;NA;
AB - QUAT;Kvaternaarsed ammooniumühendid: bensüül-C12-18-alküüldimetüül-kloriidid / C12-14-alküül[(etüülfenüül)metüül]dimetüülkloriidid;68391-01-5 / 85409-23-0;Tooteliik 3, 4;31.12.2024;Eesti Farmaatsia Grupp OÜ;NA;
FASTICID;"1) Kvaternaarsed ammooniumühendid: bensüül-C12-18-alküüldimetüül-kloriidid / C12-14-alküül[(etüülfenüül)metüül]dimetüülkloriidid; 2) Etanool";"1) 68391-01-5 / 85409-23-0 ; 2) 64-17-5";"Tooteliik 2, 3, 4; Alates 28.02.20093): Tooteliik 2, 4";31.12.2024;Eesti Farmaatsia Grupp OÜ;NA;Komisjoni otsus nr 2009/322/EÜ
ALCODEX;"1) C12–18-alküüldimetüülbensüülammooniumkloriid / C12–14-alküüldimetüül(etüülbensüül)ammooniumkloriid; 2) Etanool";"1) 68391-01-5 / 85409-23-0 ; 2) 64-17-5";Tooteliik 2, 3, 4;31.12.2024;Interchemie werken “De Adelaar” Eesti AS;NA;Tavatarbija kasutamiseks
KLOROTABS;Naatriumtrokloseen;2893-78-9;Tooteliik 2, 3, 4, 5;31.12.2024;Eesti Farmaatsia Grupp OÜ;NA;
CAROAT;Pentakaalium bis(peroksümono-sulfaat) bis(sulfaat) / kaalium vesinikmonopersulfaat;70693-62-8;Tooteliik 2;13.01.2020;INGLE AS;NA;
AQUAPURE-1000;Naatriumtrokloseen;2893-78-9;Tooteliik 2,3,4,5;31.12.2024;Interchemie werken “De Adelaar” Eesti AS;NA;Tavatarbija kasutamiseks
PREVENTOL D 7;Isotiasolinoonide segu: 5-kloro-2-metüül-3(2H)-isotiasolinoon + 2-metüül-3(2H)-isotiasolinoon;55965-84-9;Tooteliik 6, 11, 12;1.07.2020;LANXESS Deutschland GmbH;NA;"Tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni otsus 2010/72/EL ; Komisjoni rakendusmäärus (EL) 2016/131 (TL2, 4, 6, 11, 12, 13)"
Mikrobac® food;"1) Kvaternaarsed ammooniumühendid, bensüül-C12-18-alküüldimetüülkloriidid;; 2) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin";"1) 68391-01-5; 2) 2372-82-9";Tooteliik 2, 4;31.12.2024;BODE Chemie GmbH & Co;NA;Kutsealaseks kasutamiseks
SOLIKLOOR;Naatriumdikloroisotsüanuraadi dihüdraat;51580-86-0;"Tooteliik 2; Alates 20.04.2009: Tooteliik 2, 3";31.12.2024;Baltiachemi OÜ;NA;Kutsealaseks kasutamiseks
NEOSTERYL;"Alates 15.02.2016; 1) Etanool; 2) Propaan-2-ool / isopropanool; 3) Kvaternaarsete bensüül-C12-16-alküüldimetüülammooniumiühendite kloriidid; Alates 26.10.2009: ; 1) Etanool; 2) Propaan-2-ool / isopropanool; 3) Kvaternaarsete bensüül-C12-16-alküüldimetüülammooniumiühendite kloriidid; 4) PHMB";"Alates 15.02.2016; 1) 64-17-5; 2) 67-63-0; 3) 68424-85-1; Alates 26.10.2009:; 1) 64-17-5; 2) 67-63-0; 3) 68424-85-1; 4) 27083-27-8";Tooteliik 1;31.12.2024;Baltiachemi OÜ;NA;"Kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2015/407 (TL1, 2, 4); 4) Komisjoni rakendusotsus (EL) 2016/109 (TL1, 6, 9 mittelisamine)"
DISEFFECT;"1) Kvaternaarsed ammoniumühendid,bensüül-C12-18-alküüldimetüül-kloriidid; 2) Kvaternaarsed ammoniumühendid,C12-14-alküül[(etüülfenüül)metüül]dimetüülkloriidid";"1) 68391-01-5; 2) 85409-23-0";Tooteliik 2, 4;31.12.2024;Baltiachemi OÜ;NA;Kutsealaseks kasutamiseks
REMMI 50;"1) Glutaraal / pentaandiaal ; 2) Propaan-2-ool / isopropanool; 3) Etanool";"1) 111-30-8; 2) 67-63-0; 3) 64-17-5";Tooteliik 2;31.12.2024;BESUR OÜ;NA;"1) Komisjoni rakendusmäärus (EL) 2015/1759 (TL 2, 3, 4, 6, 11 ja 12); 2) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
PREVENTOL MP 250;3-jodo-2-propünüülbutüül-karbamaat;55406-53-6;Tooteliik 6,7,8,9,10,13;31.12.2024;LANXESS Deutschland GmbH;NA;"Komisjoni direktiiv 2008/79/EÜ (TL8); Komisjoni rakendusmäärus (EL) nr 1037/2013 (TL6) ; Komisjoni rakendusmäärus (EL) 2015/1728 (TL13)"
PREVENTOL MP 260;3-jodo-2-propünüülbutüül-karbamaat;55406-53-6;Tooteliik 6,7,8,9,10,13;31.12.2024;LANXESS Deutschland GmbH;NA;"Tööstuslikuks kasutamiseks; Komisjoni direktiiv 2008/79/EÜ (TL8); Komisjoni rakendusmäärus (EL) nr 1037/2013 (TL6) ; Komisjoni rakendusmäärus (EL) 2015/1728 (TL13)"
PREVENTOL BIT 20N;1,2-bensisotiasool-3(2H)-oon / proksaan;2634-33-5;Tooteliik 6, 10, 13;31.12.2024;LANXESS Deutschland GmbH;NA;Tööstuslikuks kasutamiseks
POLYPHASE 710S;"1) 3-jodo-2-propünüülbutüül-karbamaat; 2) 2-tert-butüülamino-4-etüülamino-6-metüültio-S-triasiin / terbutrüün";"1) 55406-53-6; 2) 886-50-0";Tooteliik 7;31.12.2024;Troy Chemical Europe BV, The Netherlands;NA;Tööstuslikuks kasutamiseks
POLYPHASE 641;3-jodo-2-propünüülbutüül-karbamaat;55406-53-6;Tooteliik 7, 8;31.12.2024;Troy Chemical Europe BV, The Netherlands;NA;"Tööstuslikuks kasutamiseks; Komisjoni direktiiv 2008/79/EÜ (TL8)"
METASOL TK 100;2-(4-tiasolüül)-bensimidasool/ tiabendasool;148-79-8;Tooteliik 7, 8, 9, 10;31.12.2024;LANXESS Deutschland GmbH;NA;Komisjoni direktiiv 2008/85/EÜ
METASOL TK 100 SG;2-(4-tiasolüül)-bensimidasool/ tiabendasool;148-79-8;Tooteliik 7, 8, 9, 10;31.12.2024;LANXESS Deutschland GmbH;NA;Komisjoni direktiiv 2008/85/EÜ
BIOCHEK 410;"1) 1-bromo-(bromometüül)glutaronitriil; 2) 1,2−bensisotiasool−3(2H)−oon";"1) 35691-65-7; 2) 2634-33-5";"Tooteliik 6, 7, 10, 13; Alates 25.10.20083): Tooteliik 6, 7, 10, 13; Alates 08.02.2011 3): Tooteliik 6, 13";31.12.2024;LANXESS Deutschland GmbH;NA;"1) Komisjoni rakendusmäärus (EL) 2016/1086 (TL 6); Komisjoni otsus 2008/809/EÜ; Komisjoni otsus 2010/72/EL ;"
BIOCHEK 721M;"1) 1-bromo-(bromometüül)glutaronitriil; 2) 2−bromo−2−nitropropaan−1,3−diool";"1) 35691-65-7; 2) 52-51-7";Tooteliik 6;31.12.2024;LANXESS Deutschland GmbH;NA;1) Komisjoni rakendusmäärus (EL) 2016/1086 (TL 6)
PREVENTOL Z-L;Naatrium -N,N-dimetüülditiokarbamaat;128-04-1;Tooteliik 9;31.12.2024;LANXESS Deutschland GmbH;NA;Tööstuslikuks kasutamiseks
Grön-Fri;"alküülbensüüldimetüülammooniumkloriid / bensalkooniumkloriid; Alates 11.07.2017; C12-16-alküüldimetüülbensüülammooniumkloriid";"8001-54-5; Alates 11.07.2017; 68424--85-1";Tooteliik 2;31.12.2024;"AMYNA Eesti OÜ; Alates 11.07.2017; Jape Produkter AB";NA;"Tavatarbija ja kutsealaseks kasutamiseks; Komisjoni rakendusotsus (EL) 2016/1950"
ACTICIDE BX(N);"1) Tetrahüdro-1,3,4,6-tetrakis(hüdroksü-metüül)imidasool[4,5-d]imidasool-2,5(1H,3H)-dioon; 2) 5-kloro-2-metüül-2H-isotiasool-3-ooni (EINECS: 247-500-7) ja 2-metüül-2H-isotiasool-3-ooni (EINECS:220-239-6) segu";"1) 5395-50-6; 2) 55965-84-9";Tooteliik 6, 12;31.12.2024;THOR SPECIALITIES (UK) LIMITED;NA;"Tööstuslikuks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2016/131 (TL2, 4, 6, 11, 12, 13)"
ACTICIDE DT;"4,5-dikloro-2-oktüül-2H-isotiasool-3-oon;";64359-81-5;Tooteliik 7, 9;31.12.2024;"Thor Specialities (UK) Limited; Alates 25.10.2019; THOR Specialities (UK) Ltd Filial;";NA;Tööstuslikuks kasutamiseks
Nõudepesuvahend DP;"Alates 19.07.2017; C12-16-alküüldimetüülbensüülammooniumkloriid; Kuni 19.07.2017; Kvaternaarsed ammooniumühendid,bensüül-C12-18-alküüldimetüülkloriidid";"Alates 19.07.2017; 68424-85-1; Kuni 19.07.2017; 68391-01-5";Tooteliik 2, 4;31.12.2024;"Alates 19.07.2017; Flora Kaubandus OÜ; Kuni 19.07.2017; Flora Kadrina AS";NA;Kutsealaseks kasutamiseks
BOCHEMIT QB;"1) Kvaternaarsete ammooniumühendite, bensüül-C12-16-alküüldimetüülkloriidid; 2) Boorhape";"1) 68424-85-1; 2) 10043-35-3";Tooteliik 8, 10;31.12.2024;Entario Group OÜ;NA;"Kutsealaseks kasutamiseks; Komisjoni direktiiv 2009/94/EÜ (TL8); Komisjoni direktiiv 2013/7/EL (TL8)"
BOCHEMIT QB HOBBY;"1) Kvaternaarsete ammooniumühendite, bensüül-C12-16-alküüldimetüülkloriidid; 2) Boorhape";"1) 68424-85-1; 2) 10043-35-3";Tooteliik 8, 10;31.12.2024;Entario Group OÜ;NA;"Komisjoni direktiiv 2009/94/EÜ (TL8); Komisjoni direktiiv 2013/7/EL (TL8)"
HOKOEX;Tsüromasiin / N-tsüklopropüül-1,3,5-triasiin-2,4,6-triamiin;66215-27-8;Tooteliik 18;1.01.2021;Hokochimie sarl;NA;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2016/1068 (TL 18)"
Toidu-Remisept;"1) Propaan-2-ool / isopropanool; 2) Propaan-1-ool; 3) kvaternaarne ammooniumsool, bensüül C12-18 alküüldimetüülkloriid või bensüül-C12-16-alküüldimetüül kloriidid";"1) 67-63-0; 2) 71-23-8; 3) 68391-01-5 või 68424-85-1";Tooteliik 4;31.12.2024;BESUR OÜ;NA;"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2015/407 (TL1, 2, 4); 2) Komisjoni rakendusmäärus (EL) 2017/2001 (TL 1, 2, 4)"
REMISEPT / REMMI 65;"1) Propaan-2-ool / isopropanool ; 2) Etanool";"1) 67-63-0; 2) 64-17-5";Tooteliik 1;31.12.2024;BESUR OÜ;NA;"Tavatarbija ja kutsealaseks kasutamiseks; 1) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
REMISEPT-J / REMMI 65-J;"1) Propaan-2-ool / isopropanool; 2) Etanool ; 3) kvaternaarne ammooniumsool, bensüül C12-18 alküüldimetüülkloriid või bensüül-C12-16-alküüldimetüül kloriidid";"1) 67-63-0; 2) 64-17-5; 3) 68391-01-5 või 68424-85-1";Tooteliik 1;31.12.2024;BESUR OÜ;NA;"Tavatarbija kasutamiseks; 1) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
REMIGEL / REMMI 60;"1) Propaan-2-ool / isopropanool; 2) Etanool";"1) 67-63-0; 2) 64-17-5";Tooteliik 1;31.12.2024;BESUR OÜ;NA;"Tavatarbija ja kutsealaseks kasutamiseks; 1) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
REMAL 8;kvaternaarne ammooniumsool: bensüül C12-18 alküüldimetüülkloriid või bensüül-C12-16-alküüldimetüül kloriidid;68391-01-5 või 68424-85-1;Tooteliik 2;31.12.2024;BESUR OÜ;NA;Kutsealaseks kasutamiseks
"REMMI 9 / Sambla eemaldi / ; Sambla-septik (alates 03.04.2008); Alates 11.10.2017; KiviRem / Remmi 9; Alates 29.03.2018; KiviRem / Remmi 9; Sambliku-septik";"Kvaternaarsed ammoniumühendid, bensüül-C12-18-alküüldimetüül-kloriidid / bensüül-C12-16-alküüldimetüül kloriidid; Alates 11.10.2017; C12-16-alküüldimetüülbensüülammooniumkloriid";"68391-01-5 / 68424-85-1; Alates 11.10.2017; 68424-85-1";Tooteliik 2;31.12.2024;BESUR OÜ;NA;Tavatarbija ja kutsealaseks kasutamiseks
Naatriumhüpokloriti lahus 10 -15 %;Naatriumhüpoklorit;7681-52-9;Tooteliik 2, 3, 4, 5;1.01.2022;Ingle AS;NA;"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1273"
REMAL 7;Kvaternaarne ammooniumsool: bensüül C12-18 alküüldimetüülkloriid või bensüül-C12-16-alküüldimetüül kloriidid;68391-01-5 või 68424-85-1;Tooteliik 2;31.12.2024;BESUR OÜ;NA;
REMAL 6, PRODEFENSIO;"1) Kvaternaarne ammooniumsool: bensüül C12-18 alküüldimetüülkloriid või bensüül-C12-16-alküüldimetüül kloriidid; 2) Didetsüüldimetüülammoniumkloriid";"1) 68391-01-5 või 68424-85-1 ; 2) 7173-51-5";Tooteliik 2, 4;31.12.2024;BESUR OÜ;NA;
REMAL 9;Kvaternaarne ammooniumsool: bensüül C12-18 alküüldimetüülkloriid või bensüül-C12-16-alküüldimetüül kloriidid;68391-01-5 või 68424-85-1;Tooteliik 4;31.12.2024;BESUR OÜ;NA;
DESIKLOR;Naatriumhüpoklorit;7681-52-9;Tooteliik 2, 4;1.01.2022;ESTKO AS;NA;"Kutsealaseks kasutamiseks; Riikliku loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
SINESTO® B;"1) kvaternaarsed ammooniumühendid,kokoalküültri-metüül kloriidid; 2) dinaatrium tetraboraat dekahüdraat";"1) 61789-18-2; 2) 1303-96-4";Tooteliik 8;1.05.2021;Dr. Wolman GmbH;NA;"Kutsealaseks ja tööstuslikuks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/1934; 2) Komisjoni direktiiv 2009/91/EÜ"
